source_row,drug_name_english,spanish,most_common_brand_name,use_english,normalized_records
43,Omeprazole,Omeprazol,Prilosec,"Used to treat excess stomach acid in conditions such as non-cancerous stomach ulcers, gastroesophageal reflux disease (GERD), active duodenal ulcer, Zollinger-Ellison syndrome and erosive esophagitis.",Omeprazole
44,Pantoprazole,Pantoprazol,Protonix,"Used to treat erosive esophagitis (damage to the esophagus from stomach acid caused by gastroesophageal reflux disease, or GERD).",Pantoprazole
45,Potassium Chloride,Cloruro de Potasio,Klor-Con,Used to prevent or to treat low blood levels of potassium (hypokalemia).,Potassium chloride
46,Prednisone,Prednisona,Deltasone,"Used to treat allergic disorders, skin conditions, ulcerative colitis, Crohn’s disease, arthritis, lupus, psoriasis, asthma, chronic obstructive pulmonary disease (COPD) and many more conditions.",Prednisone
47,Pravastatin/Simvastatin,Pravastatina/Simvastatina,Pravacho/Zocor,"Used to lower blood levels of “bad” cholesterol, to increase levels of “good” cholesterol, and to lower triglycerides. Also used to lower the risk of stroke, heart attack, and other heart complications in people with or without coronary heart disease or other risk factors.",Pravastatin; Simvastatin
48,Rosuvastatin,Rosuvastatina,Crestor,"Used together with diet to lower blood levels of “bad” cholesterol, to increase levels of “good” cholesterol, and to lower triglycerides. Also used to treat hereditary types of high cholesterol.",Rosuvastatin
49,Sertraline,Sertralina,Zoloft,"Used to treat major depressive disorder, obsessive-compulsive disorder (OCD), panic disorder, social anxiety disorder (SAD), and post-traumatic stress disorder (PTSD).",Sertraline
50,Sitagliptin,Sitagliptina,Januvia,Helps control blood sugar levels. It works by regulating the levels of insulin your body produces after eating.,Sitagliptin
51,Tadalafil,Tadalafilo,Cialis,Used to treat erectile dysfunction (impotence) and symptoms of benign prostatic hypertrophy (enlarged prostate).,Tadalafil
52,Tamsulosin,Tamsulosina,Flomax,Used to improve urination in men with benign prostatic hyperplasia (enlarged prostate).,Tamsulosin
53,Tramadol,Tramadol,Ultram,Used to treat moderate to severe pain that is not being relieved by other types of pain medicines.,Tramadol
54,Trazodone,Trazodona,Oleptro,Used to treat major depressive disorder.,Trazodone
55,Venlafaxine,Venlafaxina,Effexor,"Used to treat major depressive disorder, anxiety, and panic disorder.",Venlafaxine
56,Warfarin,Warfarina,Coumadin,"Used to treat or prevent blood clots in veins or arteries, which can reduce the risk of stroke, heart attack, or other serious conditions.",Warfarin
57,Zolpidem,Zolpidem,Ambien,Used to treat insomnia.,Zolpidem
