source_index,section,section_row,original_english,original_spanish,source_abbreviation,canonical_english,canonical_spanish,action,resulting_id,duplicate_of_source_index,match_method,notes
245,Specialties & Facilities,59,Waiting Room,Sala de espera,,Waiting Room,Sala de espera,added,1339,,,
246,Specialties & Facilities,60,Walk-in clinic,Clinica Ambulatoria (sin cita),,Walk-in clinic,Clinica Ambulatoria (sin cita),added,1340,,,
247,Specialties & Facilities,61,Women's health,Salud femenina,,Women's health,Salud femenina,added,1341,,,
248,Specialties & Facilities,62,Prenatal Care,Cuidado Prenatal,,Prenatal Care,Cuidado Prenatal,added,1342,,,
249,Specialties & Facilities,63,Postpartum Care,Cuidado después del parto,,Postpartum Care,Cuidado después del parto,added,1343,,,
250,Medical Professions,1,Anesthesiologist,Anestesiólogo,,Anesthesiologist,Anestesiólogo,added,1344,,,
251,Medical Professions,2,Audiologist,Audiólogo,,Audiologist,Audiólogo,added,1345,,,
252,Medical Professions,3,Bereavement Counselor,Consejero de Duelo,,Bereavement Counselor,Consejero de Duelo,added,1346,,,
253,Medical Professions,4,Cardiologist,Cardiólogo,,Cardiologist,Cardiólogo,added,1347,,,
254,Medical Professions,5,Case Manager,Administradora de Caso,,Case Manager,Administradora de Caso,updated_existing,44,,exact_english_or_abbreviation,
255,Medical Professions,6,Chiropractor,Quiropráctico,,Chiropractor,Quiropráctico,added,1348,,,
256,Medical Professions,7,Geneticist,Genetista,,Geneticist,Genetista,added,1349,,,
257,Medical Professions,8,Clinician,Profesional Médico,,Clinician,Profesional Médico,added,1350,,,
258,Medical Professions,9,Dental Hygienist,Higienista dental,,Dental Hygienist,Higienista dental,added,1351,,,
259,Medical Professions,10,Dentist,Dentista,,Dentist,Dentista,added,1352,,,
260,Medical Professions,11,Dermatologist,Dermatólogo,,Dermatologist,Dermatólogo,added,1353,,,
261,Medical Professions,12,ENT Doctor,Otorrinolaringólogo,,ENT Doctor,Otorrinolaringólogo,added,1354,,,
262,Medical Professions,13,Family Doctor,Doctor familiar,,Family Doctor,Doctor familiar,added,1355,,,
263,Medical Professions,14,Genetic Counselor,Consejero genético,,Genetic Counselor,Consejero genético,added,1356,,,
264,Medical Professions,15,GI Doctor,Gastroenterólgo,,GI Doctor,Gastroenterólgo,added,1357,,,
265,Medical Professions,16,Gynecologist,Ginecólogo,,Gynecologist,Ginecólogo,added,1358,,,
266,Medical Professions,17,Home attendant,Asistente en el hogar,,Home attendant,Asistente en el hogar,updated_existing,43,,exact_english_or_abbreviation,
267,Medical Professions,18,Home health aide,Asistente de cuidados médicos,,Home health aide,Asistente de cuidados médicos,added,1359,,,
