source_row,original_english,original_spanish,normalized_english,normalized_spanish,action,resulting_id,notes
47,Draw blood,Sacar sangre,Draw blood,Sacar sangre,added,962,
48,Examine,Examinar,see / examine (a patient),atender / examinar,updated_existing,49,Se consolidó con una ficha existente.
49,Exhale,Exhalar,Exhale,Exhalar,added,963,
50,Ejaculate,Eyacular,Ejaculate,Eyacular,added,964,
51,Faint / Pass out,Desmayarse,Faint / pass out,Desmayarse,added,965,
52,Fill medications,Surtir / Abastecer medicamentos,fill a prescription,surtir / preparar una receta,updated_existing,53,Se consolidó con una ficha existente.
53,Frigidity,Frigidéz,Frigidity,Frigidez,added,966,Se corrigió la tilde incorrecta de la forma española.
54,Frown,Fruncir el ceño,Frown,Fruncir el ceño,added,967,
55,Gasp,Jadear,Gasp,Jadear,added,968,
56,Get admitted,Ser ingresado,Get admitted,Ser ingresado,added,969,
57,Get worse / Worsen,Empeorar,Get worse / Worsen,Empeorar,added,970,
58,Give a shot / an injection,Poner una inyección,Give a shot / an injection,Poner / administrar una inyección,added,971,
59,Hit / Strike (with / against),Golpear (con / contra),Hit / strike (with / against),Golpear (con / contra),added,972,
60,Hold,Sostener / Aguantar,Hold,Sostener / Aguantar,added,973,
61,Hold on (the line),Esperar en línea,Hold on (the line),Esperar en la línea,added,974,
62,Increase,Incrementar / Subir,Increase,Incrementar / Subir,added,975,
63,Inhale,Inhalar,Inhale,Inhalar,added,976,
64,Inyect,Inyectar,Inject,Inyectar,added,977,Se corrigió la grafía inglesa Inyect → Inject.
65,Keep down / Tolerate,Mantener / Tolerar (stomach),Keep down / tolerate,Retener / tolerar (alimentos o líquidos),added,978,
66,Kneel,Arrodillarse,Kneel,Arrodillarse,added,979,
67,Latch on,Agarrar el pecho (newborn),Latch on,Agarrarse al pecho,added,980,
68,Lay down,Acostarse,Lie down,Acostarse,added,981,Se normalizó la instrucción a Lie down; Lay down se conserva como variante frecuente.
69,Lay on your back / Lay back,Acostarse boca arriba,Lie on your back / lie back,Acostarse boca arriba,added,982,Se normalizó lay → lie para la posición del propio cuerpo.
70,Lift,Levantar,Lift,Levantar,added,983,
71,Limp,Cojear,Limp,Cojear,added,984,
72,Loose Balance,Perder el equilibrio,Lose balance,Perder el equilibrio,added,985,Se corrigió loose → lose.
73,Loose Consciousness,Perder el conocimiento,Lose consciousness,Perder el conocimiento,added,986,Se corrigió loose → lose.
74,Lower / Decrease,Bajar / Disminuir,Lower / Decrease,Bajar / Disminuir,added,987,
75,Make a fist,Apuñar la mano,Make a fist,Cerrar el puño,added,988,
76,Masturbate,Masturbar,Masturbate,Masturbar,added,989,
77,Miss a dosage,Perder / Olvidar una dosis,Miss a dose,Perder / olvidar una dosis,added,990,Se normalizó dosage → dose en esta expresión.
78,Mix / Steer,Mezclar,Mix / stir,Mezclar,added,991,Steer se interpretó como una errata de stir y se conservó como forma de la fuente.
79,Move backwards / Back up,Retroceder,Move backward / back up (body movement),Retroceder,added,992,Se especificó body movement para diferenciarlo de conducir un vehículo.
80,Move forward,Avanzar / Ir hacia adelante,Move forward,Avanzar / ir hacia adelante,added,993,
81,Move the bowels / Defecate,Defecar,Move the bowels / defecate,Defecar / evacuar,added,994,
82,Prick / Poke,Puyar / Picar (con aguja),Prick / poke,Pinchar / picar (con aguja),added,995,
83,Over eat,Comer demasiado,Overeat,Comer demasiado,added,996,Se normalizó over eat → overeat.
84,Over exert,Hacer ejercicio / Esfuerzo en exceso,Overexert oneself,Hacer un esfuerzo excesivo,added,997,Se normalizó la expresión verbal.
85,Page a doctor,Mensajear a un doctor,Page a doctor,Localizar / avisar al médico,added,998,
86,Pass away / Die,Fallecer / Morir,Pass away / Die,Fallecer / Morir,added,999,
87,Point out,Señalar / Indicar,Point out,Señalar / Indicar,added,1000,
88,Pour,Verter / Echar,Pour,Verter / Echar,added,1001,
89,Print out,Imprimir,Print out,Imprimir,added,1002,
90,Punch,Golpear en la cara,Punch,Dar un puñetazo,added,1003,
91,Push,Empujar / Pujar,Push,Empujar / pujar,added,1004,
92,Quit smoking,Dejar de fumar,Quit smoking,Dejar de fumar,added,1005,
93,Rave,Delirar / Desvariar,Rave,Delirar / desvariar,added,1006,
94,Refer,Referir / Remitir,Refer,Referir / Remitir,added,1007,
95,Inherit,Heredar,Inherit,Heredar,added,1008,
