english,spanish,section,source_page
Estate,Patrimonio; sucesión de bienes; capital testado,finance,3
Estate tax,Impuesto por sucesión o herencia,finance,3
Exchange,Cambio,finance,3
Exchange rate,Tipo de cambio,finance,3
Executor under will,Albacea en un testamento,finance,3
Exercise,"Ejercicio, ejercer",finance,3
Exercise fees,Cargos de ejercicio,finance,3
Expenditures,Gastos; desembolsos,finance,3
Expenses,Gastos,finance,3
Expire,vence,finance,3
Export carrier,Compañía de exportación,finance,3
Face value,Valor nominal,finance,3
Fair Market,"Valor (justo, razonable) en el mercado",finance,3
Fees,Cargos; honorarios,finance,3
Filing,Declarar; presentar una declaración,finance,3
Finance statement,Estado de cuenta financiero,finance,3
Financial goal,Meta financiera,finance,4
Financial status,Estado financiero,finance,4
Fixed interest rate,Tasa de interés fijo,finance,4
Fixed monthly payment,Pago mensual fijo,finance,4
Flat-fee refinance,Refinanciamiento con cuota fija,finance,4
Foreclosure,Ejecución de una hipoteca,finance,4
Foreign currency,Moneda extranjera,finance,4
Fully vested,Plenamente transferidas o adquiridas,finance,4
Fund,Fondo,finance,4
Good standing,Buen crédito,finance,4
"Goods, commodities",Bienes,finance,4
Grant costs,Costo por otorgamiento,finance,4
Grant fees,Gastos por otorgamiento,finance,4
Granted,Otorgado,finance,4
Grantor,Otorgante,finance,4
Gross annual income,Ingreso anual bruto,finance,4
Gross earnings,Ganancias brutas,finance,4
Gross income,Ingreso bruto,finance,4
Gross proceeds,Ganancias brutas,finance,4
Growth & income fund,Fondo de crecimiento con altos dividendos,finance,4
Growth investment,Inversión de crecimiento,finance,4
Guidelines,Lineamientos,finance,4
Hardship,Extrema urgencia económica,finance,4
Hardship provisions,Disposiciones en situaciones de extrema urgencia económica,finance,4
Hardship withdrawal,Retiro por extrema urgencia económica,finance,4
High yield; return,Alto rendimiento,finance,4
Holder,Portador,finance,4
Holding period,Período de retención,finance,4
Home Equity loan,Préstamo sobre la plusvalía de una casa,finance,4
Home improvements,Mejoras al hogar,finance,4
Home inspection,Inspección del hogar,finance,4
In arrears,Atrasos,finance,4
In stock,En existencia; en almacén,finance,4
Income,Ingresos,finance,4
Income tax return,Saldo a favor en contribuciones sobre ingresos,finance,4
Income tax statement,Declaración de impuestos,finance,4
Investment,Inversión,finance,5
Investment firm,Compañía de inversiones,finance,5
Late fees,Cargos moratorios,finance,5
Lay-off,Descansar,finance,5
Lease,Contrato de arrendamiento,finance,5
Leasing,Arrendamiento,finance,5
Leasing agreement (contract),Contrato de arrendamiento con opción a compra,finance,5
Legal settlement,Acuerdo legal,finance,5
Length of service,Período de tiempo en que el empleado ha prestado sus servicios,finance,5
Liabilities,Obligaciones; deudas,finance,5
Lien,"Gravamen, embargo preventivo",finance,5
Life of the loan,Vigencia de un préstamo,finance,5
Living expenses,Gastos de vida,finance,5
Loan fees,Cargos originados por un préstamo,finance,5
Loan officer,Funcionario de préstamos,finance,5
Loan origination fee,Cargos por iniciar un préstamo,finance,5
Losses,Pérdidas (de una empresa),finance,5
Lump sum,Cantidad global; en una sola,finance,5
Lump sum distribution,Cantidad global distribuida,finance,5
Main office,Casa matriz,finance,5
"Make, earn",Ganar,finance,5
Manufacturer’s suggested retail price,Precio en ventas al por menor,finance,5
Marital status,Estado civil,finance,5
Market close,Cierre del mercado,finance,5
Market price,Precio del mercado,finance,5
Match (to),Igualar,finance,5
Maturity date,Fecha de vencimiento,finance,5
Mortgage,Hipoteca,finance,5
Mortgage bond,Bono hipotecario,finance,5
Mortgage loan,Préstamo hipotecario,finance,5
Mutual funds,Fondo común de inversión; fondo mutuo,finance,5
Negative cash flow,Flujo negativo de caja (en rojo),finance,5
Net worth,Patrimonio neto,finance,5
Non-interest bearing,Que no paga intereses,finance,5
Non-profit organization,"Organización no lucrativa, sin fines de lucro",finance,5
Originating fee,Cargos por iniciar una operación,finance,5
Outstanding balances,Saldos pendientes,finance,6
Outstanding debt,Deuda pendiente; morosa,finance,6
Overdraft,Sobregiro,finance,6
Owner,Propietario,finance,6
Ownership,Ser propietario,finance,6
Ownership rights,Derechos como dueño,finance,6
Paid-off,Liquidada,finance,6
Pay stub (check),Talonario de cheque de nómina,finance,6
Pay-off (to),"Liquidar; cancelar, saldar",finance,6
Pay-off an account,Saldar o liquidar una cuenta,finance,6
Payment history,Historial de pagos,finance,6
Payoff amount,Cantidad por liquidar,finance,6
Payroll,Nómina,finance,6
Payroll check,Cheque de nómina,finance,6
Penalty,Multa,finance,6
Portfolio,Cartera de clientes,finance,6
Power of attorney,Poder legal,finance,6
Power of Attorney (to grant),Extender un poder legal,finance,6
Pre-qualified,Precalificado,finance,6
Preferred stock,Acciones preferidas,finance,6
Primary cardholder,Titular de la tarjeta de crédito,finance,6
Prime rate,Tasa preferencial,finance,6
Proceeds,Ganancias,finance,6
Processing fee,Cuota por procesamiento,finance,6
Profit margin,Margen de ganancias,finance,6
Profit sharing,Participación de utilidades,finance,6
Profit sharing plan,Plan de participación de utilidades,finance,6
Property rights,Derechos de propiedad,finance,6
Property tax,Impuesto predial,finance,6
Purchase agreement,Acuerdo de compra/venta,finance,6
Purchasing power,Poder adquisitivo,finance,6
Quarter,Trimestre,finance,6
Rate,Tasa (de interés),finance,6
Rate of interest,Tasa de interés,finance,6
Rate of return,Tasa de recuperación,finance,6
Real estate,Bienes raíces,finance,6
Real estate broker,Agente o corredor de bienes raíces,finance,6
Real estate tax,Impuesto sobre bienes muebles,finance,6
Reason Codes,Códigos que indican la causa,finance,6
Refinance,Refinanciamiento,finance,6
Refinancing,Refinanciamiento,finance,7
Repayment,Pago; reembolso,finance,7
Repossess,Reposeer,finance,7
Retirement,Jubilación,finance,7
Retirement account,Cuenta de jubilación,finance,7
Return,Rendimiento,finance,7
Returns; yield,Réditos,finance,7
Revenue,Ingreso; entrada bruta,finance,7
Revolving account,Cuenta renovable; refinanciable,finance,7
Right of property ownership,Derecho de propiedad de un inmueble,finance,7
Risk of tolerance or tolerance risk,Tolerancia al riesgo,finance,7
Rollover,Transferir,finance,7
Salary deferral,"Diferimiento, prórroga del salario",finance,7
Sales agreement,Acuerdo de venta,finance,7
Sales contract,Contrato de compraventa,finance,7
Score,Puntuación,finance,7
Securities,Valores,finance,7
Seize a property.,Confiscar una propiedad,finance,7
Self-employed (to be),Trabajar por cuenta propia,finance,7
Sell order,Orden de venta,finance,7
Shareholder,Accionistas,finance,7
Shares,Acciones,finance,7
Shortfall,Déficit,finance,7
Stock,Acciones,finance,7
Stock exchange,Bolsa de valores,finance,7
Stock index,Índice de valores en el mercado,finance,7
Stock market,Mercado bursátil; bolsa de valores; “la bolsa”,finance,7
Stock options,Opciones en valores bursátiles,finance,7
Stop payment,Suspensión de pago,finance,7
Stop payment order,Aviso de suspensión de pago de un cheque,finance,7
Storage costs,Gastos de almacenaje,finance,7
Surcharges,Recargos,finance,7
Surplus,Excedente,finance,7
Tax advisor,Consejero en materia de impuestos,finance,7
Tax exempt,"Exento de contribución, exento de impuesto",finance,7
Tax withholding,Retención de impuestos,finance,7
Act of God,Acto de fuerza mayor,insurance,8
Actual cash value,Valor efectivo; valor de mercado,insurance,8
Air bag,"Bolsa de aire, globo de aire",insurance,8
Air pump,Bomba de aire,insurance,8
Alley,Callejón,insurance,8
Tax return,Declaración o rendimiento de Impuestos.,finance,8
Taxpayer,Contribuyente,finance,8
Term,Plazo,finance,8
Term of a contract,Duración de un contrato,finance,8
Testify,Testificar,finance,8
Time horizon,Lapso de tiempo contemplado,finance,8
"Title, deed",Título de propiedad,finance,8
Trade,Transacción (bursátil),finance,8
Trading securities,Valores a la venta,finance,8
Treasury Bonds,Bonos de la tesorería,finance,8
Trust,Fideicomiso,finance,8
Truth in Lending Act,Ley de Veracidad sobre Préstamos,finance,8
Uncollectible receivables,Cuentas no cobrables,finance,8
Up-front costs,Gastos inmediatos,finance,8
Vested,Conferido o transferido (a lo que se,finance,8
Voucher,Comprobante,finance,8
Waive,Renunciar a un derecho;,finance,8
Will,Testamento,finance,8
Wire transfer,Transferencia electrónica,finance,8
Withdraw,Retirar,finance,8
Withholding tax,Impuesto retenido,finance,8
Withholdings,Cantidad que ha sido retenida,finance,8
Yearly income tax statement,Declaración anual de impuestos,finance,8
Yield rate,Tasa de rendimiento,finance,8
All-terrain,Todo tipo de terreno,insurance,9
Aluminum rims,Rines de aluminio,insurance,9
Anti-lock brake system (ABS),Frenos antibloqueo,insurance,9
Anti-theft device,Dispositivo contra robos,insurance,9
Antifreeze,Anticongelante,insurance,9
Antiskid,Antideslizante,insurance,9
Appraiser,Evaluador,insurance,9
Asset protection,Protección,insurance,9
At fault,Tener la culpa,insurance,9
Auction,Subasta,insurance,9
Auto rental reimbursement,Reembolso de renta de auto,insurance,9
Axle,Eje,insurance,9
Back up (a vehicle),Dar marcha atrás; retroceder,insurance,9
Beads,Cuentitas,insurance,9
Become disabled (to),Incapacitarse,insurance,9
Bent,Doblado,insurance,9
Blind curve,Curva sin visibilidad,insurance,9
Blinkers,Luces intermitentes,insurance,9
Bodily injury,Lesiones corporales,insurance,9
Body of car,Carrocería,insurance,9
Body shop,Taller de carrocería o chapistería,insurance,9
Bonus credit,Crédito por bonificación,insurance,9
Brake,Frenar,insurance,9
Brake pad,"Almohadilla del freno, pastilla del freno",insurance,9
Broken down,Descompuesto,insurance,9
Bucket seats,Asientos individuales (tipo deportivo),insurance,9
Buckle,Abrochar,insurance,9
Bumper,"Defensa, parachoques",insurance,9
Bumpy road,"Camino desigual o con baches, camino áspero, irregular",insurance,9
Burglary insurance,Seguro contra robos,insurance,9
Carrier,Portador,insurance,9
Casualty insurance,"Seguro de daño patrimonial por hechos fortuitos, seguro contra hechos diversos",insurance,10
Center divide,Camellón (Mex); algo en medio de los dos carriles dividiéndolos,insurance,10
Certificate of title,Certificado de título,insurance,10
Claim,Reclamo,insurance,10
Claim history,Historial de reclamo,insurance,10
Claimant,Demandante,insurance,10
Claims adjusters,Liquidador de siniestros (Ajustador) encargado del reclamo,insurance,10
Claims representative,Representante de reclamos,insurance,10
Class action lawsuit,"Pleito de acción colectiva, demanda colectiva, acción de grupo",insurance,10
Clear title,Título libre de gravamen o deuda,insurance,10
Collide,Estrellarse,insurance,10
Collision,Choque,insurance,10
Collision coverage,Cobertura contra choques,insurance,10
Commute to work,Transportarse al trabajo,insurance,10
Compensation rate,Taza de compensación,insurance,10
Complications come up,Surjan complicaciones,insurance,10
Comprehensive,Contra todo riesgo,insurance,10
Congested,Congestionado,insurance,10
Contingent beneficiary,Beneficiario contingente,insurance,10
Cooling water,Agua de refrigeración,insurance,10
Coverage,Cobertura,insurance,10
Crashed into,Chocaron,insurance,10
Crosswalk,"Cruce de peatones, crucero",insurance,10
Crowbar (to give leverage),Palanca (para dar fuerza mecánica),insurance,10
Cul-de-sac,Calle sin salida,insurance,10
Curb,Orilla,insurance,10
Custom built,Hecho a la medida o por encargo,insurance,10
Dashboard,Tablero,insurance,10
Dealer,Concesionario,insurance,10
Dealership,Distribuidora,insurance,10
Deductible,Deducible,insurance,11
Defect,"Falla, defecto",insurance,11
"Dent, smash",Apachurrar,insurance,11
Dents,Abolladuras,insurance,11
Ding on vehicle,Golpe en la carrocería,insurance,11
Dipstick,Indicador de nivel de aceite,insurance,11
Disability benefits,Beneficios por incapacidad,insurance,11
Disability income coverage,Cobertura sobre ingresos por incapacidad,insurance,11
Disability payment,Pago por incapacidad,insurance,11
Disablement,Situación de encontrase incapacitado,insurance,11
Ditch,Zanja,insurance,11
DMV,Depto. De Vehículos,insurance,11
Door handle,Manija de la puerta,insurance,11
Double parking,Estacionarse en doble fila,insurance,11
Drive-in facility,"Centro de inspecciones,",insurance,11
Driver,Conductor,insurance,11
Drivers license,Licencia de conducir,insurance,11
Driving record,Historial o antecedentes de,insurance,11
DUI,Manejar bajo la influencia de,insurance,11
Dwelling,Vivienda,insurance,11
Elapse,Transcurrir,insurance,11
Endorsement,Endoso,insurance,11
Enhanced value,Valor aumentado,insurance,11
Estimate,Presupuesto,insurance,11
Excluded driver,Conductor excluido,insurance,11
Exhaust pipe,Tubo de escape,insurance,11
Expired,Vencida,insurance,11
Extended cab,Cabina doble,insurance,11
Fan,Ventilador,insurance,11
Fan belt,Banda; correa,insurance,11
Faulty,Defectuoso,insurance,12
Fender,Salpicadera,insurance,12
Fender-bender,Choque leve,insurance,12
Field adjuster,Liquidador (ajustador) de siniestros que acude al sitio,insurance,12
File (a report/claim),Presentar; hacer (un reporte/reclamo),insurance,12
"Fishtail, to",Colearse,insurance,12
Fix,"Arreglar, reparar",insurance,12
Flag down (a police car),Hacerle señas (a la patrulla) para parar,insurance,12
Flare,"Señal luminosa (utilizada cuando un carro se descompone), luz de bengala",insurance,12
Flood insurance,Seguro contra inundaciones,insurance,12
Fog,Neblina,insurance,12
Fork in the road,Bifurcación en el camino,insurance,12
Four-wheel drive vehicle (four- by-four),Vehículo de doble tracción,insurance,12
Frame out of alignment (vehicle),Estructura o armazón del vehículo dañado o descuadrado,insurance,12
Front-wheel drive (vehicle),Vehículo con tracción,insurance,12
Fuel gauge,Indicador de gasolina,insurance,12
Fuel pump,Bomba de la gasolina,insurance,12
Full coverage,Cobertura completa,insurance,12
Full knowledge,"Mejor saber y entendimiento,",insurance,12
Funeral expenses,Gastos funerarios/ por defunción,insurance,12
Gauge,"Indicador, calibrador, marcador",insurance,12
Gearbox,Caja de velocidades,insurance,12
Gears,Velocidades,insurance,12
Go through a red light,Pasarse un semáforo en rojo,insurance,12
Going market price,Valor actual en el mercado,insurance,12
Good driver discounts,Descuentos de buen conductor,insurance,12
Grill,Parrilla,insurance,12
Hazard insurance,Seguro contra siniestros,insurance,12
Head-on collision,Choque de frente,insurance,12
Headlights,"Faros, luces",insurance,12
Heir,Heredero,insurance,13
"Highway, freeway",Autopista,insurance,13
Hit and run,En donde el conductor choca y se da a la fuga,insurance,13
Homeowner’s insurance,Seguro de vivienda,insurance,13
Hood (of car),"Capó, cofre, cubierta de motor",insurance,13
Horn,"Claxon, bocina",insurance,13
Hose,Manguera,insurance,13
Hubcap,"Tapacubos, tapa de la llanta",insurance,13
Idle,"Marcha en vacío, estar en neutro o punto muerto",insurance,13
Ignition,Encendido,insurance,13
Imbed,Incrustar,insurance,13
Impairment rating,Clasificación de grado de,insurance,13
Impound,Confiscar,insurance,13
"In effect, to go into effect",Entrar en vigencia,insurance,13
In-patient charges,Cargos hospitalarios,insurance,13
Increased liability limits,Aumento en los límites de,insurance,13
Injured,Lesionado,insurance,13
Injuries,Lesiones,insurance,13
Insurable risk,Riesgo asegurable,insurance,13
Insurance broker,Corredor de seguros,insurance,13
Insurance carrier,Cía. de seguros,insurance,13
Insurance claim,Reclamo de seguro,insurance,13
Insurance policy,Póliza de seguro,insurance,13
Insured,Asegurada (persona),insurance,13
Intersection,Cruce,insurance,13
Jack,Gato hidráulico,insurance,13
Jerking motion,Movimiento brusco,insurance,13
Joint liability,Responsabilidad colectiva,insurance,13
Joint policy,"Póliza mancomunada, conjunta",insurance,13
Joyride,Manejar un vehículo sin permiso,insurance,13
Jump start (a vehicle),Arrancar un vehículo cargando la batería con cables; dar carga,insurance,13
Labor,Mano de obra,insurance,13
Lane,Carril,insurance,14
Lapse in coverage,Período sin cobertura,insurance,14
Leasing company,Arrendadora,insurance,14
Legally bound,Obligado legalmente,insurance,14
Lever,Palanca,insurance,14
Liability,Responsabilidad civil,insurance,14
Liability coverage,Cobertura de responsabilidad civil; daños a terceros,insurance,14
Licensed provider,Proveedor certificado,insurance,14
Lien-holder,Entidad que ejerce derecho de retención,insurance,14
Light duty,Tareas livianas,insurance,14
Long bed,Plataforma larga (de un,insurance,14
Long-term disability,Incapacidad a largo plazo,insurance,14
Loss,Pérdida,insurance,14
Loss of life,"Muerte, fallecimiento",insurance,14
Loss of Power of Earnings Form,Formulario de incapacidad,insurance,14
Loss of use coverage,Cobertura por privación de,insurance,14
Lubrication,Engrase,insurance,14
Lug wrench,Llave de cruz,insurance,14
Luggage rack,Parrilla para equipaje,insurance,14
Lump sum compensation,Indemnización global,insurance,14
Machine,Máquina,insurance,14
Magnesium (“mag.) rims,Rines de magnesio.,insurance,14
Major repairs,"Daños importantes, considerables",insurance,14
Make,Marca,insurance,14
Malpractice insurance,Seguro por ejercicio negligente de una profesión,insurance,14
Mandatory insurance,Seguro obligatorio,insurance,14
Manual transmission,Caja de transmisión manual,insurance,14
Mislead (to),Mal informar,insurance,14
Misleading evidence (to provide),Proporcionar pruebas engañosas,insurance,14
Moving violation,Infracción de tránsito,insurance,15
Muffler,Silenciador,insurance,15
No-fault loss,Pérdida sin haber tenido culpa,insurance,15
Non-insurable risk,Riesgo no asegurable,insurance,15
Non-owner insurance,Seguro de no propietario,insurance,15
Notary public,Notario público,insurance,15
Occupational accident,Accidente de trabajo,insurance,15
Occurrence-based policy,Póliza basada en incidentes,insurance,15
Odometer,Indicador de millaje o kilometraje,insurance,15
Off-ramp,Salida; rampa de salida,insurance,15
Officer,Oficial,insurance,15
On-ramp,Rampa de entrada,insurance,15
Opposing party,"Adversario, parte opositora",insurance,15
Other than collision loss,Pérdida que no esté,insurance,15
Out-of-pocket expense,Desembolso en efectivo,insurance,15
Overhaul,Reparar el motor,insurance,15
Overtake,"Sobrepasar, alcanzar y",insurance,15
Pain and suffering,"Daños corporales, físicos y",insurance,15
Passing lane,Carril para rebasar,insurance,15
Patrol car; Highway Patrol,Patrulla; Patrulla de caminos,insurance,15
Pedestrian,Peatón,insurance,15
Personal injury protection (PIP),Cobertura (protección) contra daños personales,insurance,15
Pile-up (collision),"Colisión múltiple, accidente en cadena",insurance,15
Policy,Póliza,insurance,15
Policyholder,Titular de la póliza,insurance,15
Posted speed limit,Límite de velocidad marcada o indicada,insurance,15
Pothole,Bache,insurance,15
Power brakes,Frenos de potencia,insurance,15
Power steering,Dirección hidráulica,insurance,15
Power windows,Vidrios eléctricos,insurance,15
Premium,Prima,insurance,15
Process,"Trámite, procedimiento",insurance,16
Product recall,Retiro de un producto del mercado por tener algún problema,insurance,16
Proof of insurance,Comprobante de seguro,insurance,16
Proof of policy,Comprobante de póliza,insurance,16
Property damage,Daños a la propiedad,insurance,16
Protection barrier,Barandal de protección,insurance,16
Pull over (to),Hacerse a un lado,insurance,16
Quote,Cotización,insurance,16
Radiator cap,Tapa del radiador,insurance,16
Rating,Clasificación,insurance,16
Rear tailgate (of a truck),Compuerta trasera (de un,insurance,16
Rear-end (collision),Choque por detrás,insurance,16
Rear-view mirror,Espejo retrovisor,insurance,16
Reckless driving,Manejar con imprudencia,insurance,16
"Record, for the",Constar en el acta (para que,insurance,16
Recorded statement,Declaración grabada,insurance,16
Recreational vehicle (RV),"Carro-casa, casa rodante",insurance,16
Registered owner,Propietario registrado,insurance,16
Registration,"Matrícula, tenencia (Mex)",insurance,16
Registration fee,Cuota para matricular un,insurance,16
Reimburse,Reembolsar,insurance,16
Reinstatement of policy,Restitución de una póliza,insurance,16
Release form,Formulario en donde una de las partes de un contrato se declara exento de responsabilidad,insurance,16
Renewal,Renovación,insurance,16
Renewal notice,Aviso de renovación,insurance,16
Rental reimbursement,Reembolso de vehículo alquilado,insurance,16
Repair shop,Taller,insurance,16
Replacement costs,"Valor de sustitución, valor de reposición",insurance,16
Risk,Riesgo,insurance,16
Risk rating,Clasificación de riesgo,insurance,16
"Routed (for example, manner in which a cable is routed)","Dirección que sigue la instalación de una parte (por ejemplo, un cable)",insurance,17
Scrap value,Valor de los restos de un siniestro; valor como chatarra,insurance,17
Scratch,Rallar,insurance,17
Screech,Chillido,insurance,17
Seat belts,Cinturones de seguridad,insurance,17
Seat cover,Cubreasiento,insurance,17
Semi,Camión de carga pesada,insurance,17
Settlement,Acuerdo,insurance,17
Shaft,Eje,insurance,17
Shock absorbers,Amortiguadores,insurance,17
Shop,Taller,insurance,17
Shoulder,Orilla de la carretera,insurance,17
Sickness allowance,Subsidio de enfermedad,insurance,17
Skid,Patinarse,insurance,17
Slam into,Embestir,insurance,17
Slippery,Resbaloso,insurance,17
Spare parts,Refacciones,insurance,17
Spark plugs,Bujías,insurance,17
Speed,Velocidad,insurance,17
Speed bumps,Topes de control de,insurance,17
Speeding,Exceso de velocidad,insurance,17
Spin out,"Perder el control, patinarse",insurance,17
Squealing of tires,Rechinido de llantas,insurance,17
Start,Arrancar,insurance,17
Starter (on vehicle),"Arrancador, motor de arranque",insurance,17
Steer,Conducir,insurance,17
Steering wheel,Volante,insurance,17
Stop sign,Señal de alto,insurance,17
Storage charges,Cargos por almacenaje,insurance,17
Structural damage,"Daño estructural, daño a la estructura",insurance,17
Sun roof (of a vehicle),(Techo con) quemacocos (de un vehículo),insurance,17
Surgical expense insurance,Seguro de gastos quirúrgicos,insurance,17
Swerve,Desviar,insurance,18
"Swerve, “fish tail”",Colear,insurance,18
Tag,Placa,insurance,18
Tail light (of a car),"Luz trasera, faro de cola",insurance,18
Tailgate,Puerta trasera; puerta de descarga,insurance,18
Term insurance,Seguro de vida con plazo determinado,insurance,18
Term Life Policy,Póliza de vida a término,insurance,18
Testimony,Testimonio,insurance,18
Third party,"Tercera parte (por ejemplo, en un contrato)",insurance,18
Third party property damage,Daños materiales a terceros,insurance,18
Ticket,Infracción,insurance,18
Tire chains,Cadenas antideslizantes,insurance,18
Title; pink slip,Título de propiedad,insurance,18
To the best of your knowledge and belief,A su mejor saber y,insurance,18
Total loss,Pérdida total,insurance,18
Totaled vehicle,Vehículo considerado,insurance,18
Tow (to),Llevar en grúa,insurance,18
Tow bar,Enganche de remolque,insurance,18
Tow truck,Grúa,insurance,18
Tow yard,"Lote de carros remolcados,",insurance,18
Traffic jam,"Atasco, embotellamiento,",insurance,18
Traffic light,Semáforo,insurance,18
Traffic sign,Señal de tráfico,insurance,18
Traffic tickets,Infracciones de tránsito,insurance,18
Trailer,Remolque,insurance,18
Transferable voucher,Comprobante transferible,insurance,18
Tread/ pattern on a tire,"Dibujo de la llanta, banda de rodadura",insurance,18
Turning lane,Carril para dar vuelta,insurance,18
Twisted,Torcido,insurance,18
Two-way street,Calle de doble sentido,insurance,18
Underpass,Paso subterráneo,insurance,18
Underwriting,Evaluación de riesgos,insurance,18
Abuse,Abuso,welfare,19
Alien,Extranjero,welfare,19
Alimony,Pensión Alimenticia,welfare,19
Apply for,Solicitar,welfare,19
Approval,Aprobación,welfare,19
Assessment,Evaluación,welfare,19
Bedbugs,Chinches,welfare,19
Bi-weekly,Cada dos semanas,welfare,19
Birth certificate,Acta de Nacimiento,welfare,19
Business Hours,Horas Hábiles,welfare,19
Uninsured motorist,Conductor no asegurado,insurance,19
Uninsured motorist coverage,Protección (cobertura) contra conductores no asegurados,insurance,19
Up-keep,Mantenimiento,insurance,19
Upgrades,Calidad mejorada (mejore que el producto básico),insurance,19
Upholstery,"Tapizado, tapicería",insurance,19
Vandalism,Vandalismo,insurance,19
Vandalize,Causar daños por vandalismo,insurance,19
Went into effect,Entró en vigor,insurance,19
Whip lash,Latigazo,insurance,19
Whole life insurance,Seguro de vida entera,insurance,19
Windshield,Parabrisas,insurance,19
Windshield wipers,Limpiaparabrisas,insurance,19
Wire,Alambre,insurance,19
Witness,Testigo,insurance,19
Workers’ union,Sindicato,insurance,19
Workman’s comp,Indemnización por accidente,insurance,19
Worn-out tires (having bald tires),Llantas lisas o llantas sin dibujo,insurance,19
Wrecking company,Compañía que ofrece,insurance,19
Wrong way street,Calle en sentido contrario,insurance,19
Wrongful act,Acto ilícito,insurance,19
Wrongful death,Muerte ilegítima,insurance,19
Case worker,Trabajador(a) de caso,welfare,20
Cash assistance,Ayuda con dinero en efectivo,welfare,20
Cash on hand,Dinero en efectivo a mano,welfare,20
Child Support,Manutención Infantil,welfare,20
